"age","gender","height","weight","weekly_km","country","shoe_brand","marathons_xp","personal_best","injured_prev_mth","injured_prev_qtr","injured_prev_hy"
39,"Female",156,59,54,"Australia","Nike",2,259,0,0,1
28,"Female",158,63,17,"Australia","Brooks",3,272,0,0,1
23,"Female",159,65,40,"Australia","Saucony",1,246,0,0,0
27,"Male",159,70,41,"Germany","Adidas",2,342,0,0,0
32,"Female",170,69,14,"   kenya    ","Brooks",2,344,0,1,1
29,"Male",169,74,36,"US","Saucony",3,369,0,0,0
24,"Male",165,68,30,"USA","Nike",3,372,0,1,1
36,"Female",151,63,44,"Australia","Brooks",4,285,0,0,0
29,"Male",181,87,30,"US","Asics",0,NA,0,0,0
30,"Female",146,58,22,"Australia","Nike",2,319,0,0,0
19,"Female",171,71,43,"Australia","Saucony",5,259,0,0,0
24,"Male",160,65,20,"Australia","Adidas",1,207,0,1,1
25,"Female",172,70,89,"Japan","Adidas",2,254,0,0,0
30,"Male",162,67,21,"Australia","Saucony",0,NA,0,0,0
19,"Female",157,63,46,"USA","Nike",1,217,0,0,0
31,"Female",177,74,54,"US","Asics",3,333,0,0,1
30,"Female",170,72,49,"Australia","Adidas",3,270,0,0,0
26,"Male",181,78,48,"Australia","Adidas",1,282,0,1,1
30,"Female",164,71,29,"Australia","Brooks",2,315,0,0,1
29,"Female",167,72,18,"US","Saucony",4,258,0,0,0
25,"Female",162,68,72,"Australia","Brooks",3,332,0,0,0
26,"Male",154,66,54,"Australia","Adidas",3,261,0,0,0
30,"Female",164,69,12,"United States","Nike",4,NA,0,0,0
22,"Female",152,59,56,"US","Saucony",1,213,0,0,0
23,"Female",156,69,53,"Australia","Asics",1,271,0,0,0
43,"Female",161,64,26,"US","Saucony",3,335,0,0,0
36,"Male",150,60,34,"Australia","Nike",4,317,0,0,0
33,"Male",176,75,25,"Australia","Saucony",1,275,0,0,0
23,"Male",168,65,16,"US","Brooks",0,NA,0,0,0
46,"Female",163,63,34,"USA","Saucony",4,335,0,0,0
23,"Male",160,60,78,"UK","Saucony",4,290,1,1,1
36,"Male",150,60,33,"Australia","Asics",6,378,0,0,1
41,"Female",167,73,59,"Australia","Asics",3,294,0,0,0
21,"Female",171,76,43,"Australia","Saucony",1,279,0,0,0
45,"Male",178,78,52,"Australia","Brooks",4,479,0,0,0
21,"Female",172,73,5,"Japan","Adidas",0,NA,0,0,0
32,"Female",177,79,43,"Kenya","Nike",1,332,0,0,0
31,"Male",164,71,37,"Australia","Adidas",4,267,0,0,0
37,"Male",157,60,-65,"US","Asics",5,289,0,0,0
31,"Female",181,78,9,"UK","Nike",2,292,0,0,0
28,"Female",161,65,43,"Australia","Nike",3,228,0,0,0
18,"Female",157,62,54,"Kenya","Brooks",1,278,0,0,0
26,"Male",159,67,58,"Australia","Adidas",2,258,0,0,0
37,"Male",172,81,34,"Australia","Adidas",3,321,1,1,1
24,"Female",181,86,47,"Australia","Adidas",3,337,1,1,1
23,"Male",173,70,54,"   kenya    ","Adidas",1,225,0,1,1
49,"Male",176,81,23,"Australia","Brooks",3,337,0,0,0
28,"Male",179,75,40,"Australia","Saucony",1,286,0,0,0
36,"Male",168,75,21,"US","Adidas",3,280,0,0,1
19,"Male",172,70,42,"US","Adidas",0,NA,0,0,0
20,"Male",176,69,30,"Australia","Nike",6,210,0,0,0
50,"Female",177,73,21,"Australia","Asics",4,438,0,0,0
25,"Male",156,58,18,"Japan","Brooks",0,NA,0,0,0
19,"Male",166,77,40,"Australia","Brooks",1,241,0,0,1
42,"Male",169,66,40,"Australia","Saucony",3,290,0,1,1
41,"Male",151,58,32,"UK","Adidas",2,350,0,0,0
34,"Male",180,78,98,"Australia","Brooks",1,312,0,0,0
32,"Male",160,62,30,"Australia","Asics",2,294,0,0,0
27,"Female",158,61,23,"Australia","Nike",2,322,0,0,0
27,"Male",154,61,23,"Australia","Nike",2,272,0,0,0
31,"Male",155,62,31,"Australia","Nike",1,333,0,0,0
24,"Male",175,76,23,"Germany","Brooks",1,234,0,0,0
45,"Male",168,71,36,"Australia","Saucony",2,322,0,0,0
30,"Female",170,69,21,"Australia","Asics",1,304,0,0,1
30,"Male",165,63,21,"Australia","Saucony",1,310,0,0,0
29,"Male",174,73,52,"Australia","Saucony",4,346,0,1,1
21,"Male",155,62,47,"Australia","Nike",2,290,0,1,1
23,"Male",159,70,11,"Australia","Nike",1,247,1,1,1
24,"Male",160,74,36,"Australia","Adidas",3,261,0,0,0
32,"Female",157,62,47,"Australia","Nike",0,NA,0,0,0
26,"Male",173,72,68,"Australia","Brooks",1,288,0,0,0
26,"Female",152,58,43,"Australia","Brooks",3,275,0,0,0
32,"Male",183,77,32,"Australia","Adidas",1,324,0,0,0
46,"Female",190,87,51,"Australia","Saucony",4,479,0,0,0
26,"Female",171,70,93,"Australia","Asics",2,275,0,0,0
24,"Male",176,73,64,"Australia","Asics",2,262,0,0,1
18,"Male",142,53,42,"Australia","Brooks",2,266,0,0,0
27,"Female",180,79,50,"Australia","Adidas",0,NA,0,0,0
22,"Female",184,83,72,"Australia","Adidas",5,317,0,0,0
32,"Male",167,71,33,"Australia","Nike",2,322,0,0,1
34,"Female",175,75,27,"Australia","Saucony",2,293,0,0,0
28,"Male",164,68,46,"Australia","Saucony",1,251,0,0,1
27,"Female",172,76,30,"Australia","Adidas",2,335,0,0,0
30,"Male",163,67,13,"Australia","Brooks",3,320,0,0,0
25,"Male",161,70,31,"Australia","Nike",2,296,0,0,0
25,"Male",168,63,19,"Germany","Brooks",0,NA,0,0,0
23,"Female",177,82,13,"Germany","Asics",1,296,0,0,0
34,"Female",163,65,48,NA,"Nike",2,327,0,0,0
20,"Female",170,71,90,"Australia","Brooks",4,211,0,0,0
35,"Male",176,80,29,"Australia","Saucony",2,308,0,0,0
23,"Female",165,70,8,"Australia","Saucony",6,257,0,0,0
37,"Female",180,76,45,"Australia","Nike",3,329,0,0,0
29,"Female",178,81,38,"Germany","Nike",3,268,0,0,0
20,"Female",173,75,47,"Australia","Nike",2,300,0,0,1
46,"Female",165,68,38,"UK","Nike",4,385,0,0,0
24,"Female",179,74,71,"Australia","Brooks",4,225,0,0,0
21,"Male",166,68,31,"Australia","Asics",3,245,0,0,0
30,"Male",174,69,25,"Australia","Adidas",1,306,0,1,1
26,"Male",156,64,21,"Japan","Brooks",3,210,0,0,0
31,"Female",166,75,77,"USA","Asics",0,NA,0,0,0
23,"Female",178,72,36,"Australia",NA,4,266,0,0,0
26,"Female",174,79,29,"Australia","Adidas",2,280,1,1,1
34,"Female",162,66,34,"Australia","Nike",4,290,0,0,1
40,"Male",178,75,94,"Australia","Saucony",4,287,0,0,0
35,"Male",179,72,28,"Australia","Asics",2,262,0,0,0
37,"Male",180,80,53,"Australia","Asics",3,299,0,0,0
33,"Female",162,67,26,"Germany","Nike",4,294,0,0,0
19,"Male",178,76,39,"Australia","Saucony",3,275,0,0,0
33,"Female",170,71,24,"Australia","Saucony",2,313,0,0,0
21,"Female",146,54,45,"Australia","Brooks",3,222,0,0,0
24,"Female",176,75,27,"Japan","Saucony",1,280,0,0,0
30,"Male",190,86,32,"USA","Saucony",2,287,0,0,1
26,"Female",153,56,19,"Australia","Nike",0,NA,0,0,0
24,"Male",159,67,51,"Australia","Nike",4,262,0,0,0
26,"Male",154,56,36,"Australia","Nike",2,332,0,1,1
21,"Male",177,80,22,"Australia","Nike",1,257,0,0,0
29,"Male",185,82,56,"Germany","Adidas",4,295,0,0,0
28,"Female",178,78,13,"Australia","Saucony",1,333,0,0,0
23,"Female",175,79,42,NA,"Nike",3,288,0,0,0
32,"Female",151,56,40,"UK","Asics",6,350,0,0,0
26,"Male",158,67,22,"Australia","Brooks",0,NA,0,0,0
32,"Female",150,63,21,"Australia","Brooks",1,346,0,0,0
19,"Female",157,69,44,"Japan","Brooks",1,236,0,0,0
24,"Male",168,70,36,"Australia","Nike",2,305,0,0,1
27,"Female",179,89,27,"Australia","Saucony",4,274,0,0,0
27,"Male",159,63,42,"Australia","Adidas",2,205,0,0,0
32,"Female",179,79,47,"Australia","Nike",2,289,0,0,1
24,"Male",169,77,45,"Australia","Saucony",5,250,0,0,0
28,"Female",147,50,52,"USA","Saucony",4,349,0,0,0
24,"Female",175,79,37,"Australia","Brooks",0,NA,0,0,1
21,"Male",154,62,47,"Kenya","Nike",2,263,0,0,0
22,"Male",186,85,33,"Australia","Adidas",2,274,0,0,1
33,"Male",147,53,46,"Australia","Adidas",1,274,0,0,0
20,"Female",155,59,22,"Australia","Saucony",4,212,0,0,0
22,"Male",160,66,29,"Australia","Saucony",1,253,1,1,1
32,"Female",163,70,89,"Australia","Adidas",1,293,0,0,0
23,"Female",169,75,47,"Australia","Asics",2,215,0,1,1
29,"Male",177,68,-45,"Australia","Adidas",3,NA,0,0,0
35,"Male",169,65,52,"Australia","Nike",2,309,0,0,0
43,"Male",181,77,24,"Australia","Brooks",3,365,0,0,0
26,"Male",183,79,81,"Australia","Nike",1,227,0,0,0
36,"Male",164,69,27,"Australia","Asics",2,317,0,0,0
23,"Male",169,75,45,"Australia","Brooks",1,286,0,0,0
20,"Male",179,79,22,"Australia","Adidas",2,278,1,1,1
19,"Male",196,79,52,"Japan","Adidas",1,239,0,0,0
27,"Male",178,70,63,"Japan","Nike",1,255,0,0,0
35,"Female",153,999,68,"Kenya","Saucony",2,306,0,0,0
35,"Male",150,60,26,"Australia","Asics",4,290,0,0,0
26,"Female",169,68,42,"Australia","Asics",3,279,1,1,1
32,"Female",168,68,54,"Australia","Adidas",3,353,0,0,1
28,"Female",171,70,36,"Australia","Asics",4,300,0,0,0
49,"Female",161,65,31,"Australia","Nike",3,375,0,0,0
30,"Male",157,64,51,"Australia","Asics",3,280,1,1,1
20,"Male",164,64,29,"Australia","Brooks",5,240,0,0,0
41,"Male",157,61,96,"Australia","Adidas",2,306,0,0,0
49,"Male",180,83,42,"Australia","Asics",4,349,0,0,0
23,"Female",156,64,18,"Australia","Asics",1,293,0,0,0
32,"Female",172,78,50,"Australia","Saucony",0,NA,0,0,1
25,"Male",183,79,32,"Australia","Nike",3,238,0,0,0
35,"Male",183,84,24,"Australia","Brooks",2,249,0,0,0
40,"Female",146,53,24,"UK","Nike",4,347,0,0,0
36,"Male",178,71,17,"Australia","Asics",5,NA,0,0,0
29,"Male",163,65,31,"Australia",NA,2,285,0,0,0
47,"Male",170,78,35,"USA","Brooks",4,363,0,0,0
20,"Male",164,63,27,"Australia","Adidas",3,213,0,0,1
23,"Female",163,66,69,"Australia","Brooks",1,294,0,0,0
30,"Male",167,74,56,"Australia","Brooks",1,316,0,1,1
30,"Female",172,72,71,"Australia","Asics",4,302,0,0,0
32,"Female",185,81,20,"Australia","Asics",0,NA,0,0,0
50,"Male",156,64,51,"Australia","Saucony",6,369,0,0,0
31,"Male",172,77,34,"Germany","Brooks",3,301,0,0,0
28,"Female",148,54,35,"Australia","Nike",0,NA,0,0,1
34,"Female",178,80,23,"Australia","Nike",2,285,0,0,0
28,"Female",183,88,27,"Australia","Nike",1,276,0,0,1
45,"Female",162,65,31,"Japan","Asics",4,339,0,0,1
25,"Female",180,87,39,"Japan","Saucony",1,202,0,0,0
20,"Male",162,66,26,"Australia","Brooks",1,231,0,1,1
41,"Female",164,67,74,"Germany","Nike",4,338,0,0,0
22,"Female",185,83,31,"Australia","Nike",0,NA,0,0,1
32,"Male",177,75,34,"Australia","Adidas",0,NA,0,0,1
35,"Male",176,71,27,"Australia","Adidas",2,299,0,0,1
27,"Female",167,73,33,"Australia","Brooks",0,NA,0,0,1
21,"Female",163,68,32,"Australia","Nike",1,285,0,0,1
24,"Female",169,72,25,"Australia","Asics",6,286,0,1,1
36,"Female",179,79,27,"Australia","Adidas",2,286,0,0,1
41,"Female",176,72,49,"Australia","Brooks",2,283,0,0,1
21,"Female",180,77,35,"Australia","Asics",3,314,0,1,1
32,"Female",191,81,34,"Australia","Brooks",0,NA,0,0,0
27,"Female",183,81,114,"Australia","Adidas",1,283,0,0,0
34,"Male",164,69,10,"Australia","Saucony",1,273,0,0,1
27,"Male",170,77,64,"Australia","Asics",2,280,0,0,0
32,"Male",165,69,30,"Australia","Asics",2,314,0,0,0
21,"Male",181,999,41,"Australia","Brooks",1,237,0,0,0
24,"Female",166,72,26,"Australia","Saucony",3,232,0,0,1
32,"Female",180,81,53,"Australia","Saucony",1,305,0,0,1
21,"Female",168,67,28,"Australia","Saucony",0,NA,0,0,0
23,"Female",142,49,18,"Australia","Adidas",1,267,0,0,0
43,"Female",199,89,58,"USA","Adidas",4,337,0,0,1
32,"Female",181,82,21,"Australia","Brooks",2,333,0,0,0
25,"Male",163,70,41,"Germany","Saucony",3,246,0,0,1
28,"Female",162,66,30,"Australia","Saucony",4,277,0,1,1
25,"Female",195,99,8,"Australia","Adidas",2,316,0,0,1
26,"Male",165,72,29,"Australia","Adidas",2,316,0,0,0
34,"Female",162,64,24,"UK","Adidas",1,317,0,0,0
24,"Male",156,67,21,"Australia","Brooks",4,293,0,0,0
36,"Female",151,57,22,"Australia","Adidas",2,379,0,0,0
22,"Female",165,74,49,"Aus","Adidas",4,253,0,0,0
39,"Female",154,64,10,"Australia","Nike",4,275,0,0,0
38,"Male",162,70,43,"Australia","Brooks",5,294,0,0,1
20,"Male",167,68,45,"UK","Asics",1,236,0,1,1
31,"Female",165,65,17,"Japan","Adidas",1,304,0,0,0
27,"Male",178,88,29,"Australia","Adidas",1,338,0,0,0
19,"Male",188,89,24,"Australia","Saucony",1,159,0,0,0
22,"Male",163,65,89,"Australia","Adidas",3,236,0,0,0
44,"Female",201,86,26,"UK","Saucony",3,336,0,0,0
26,"Male",175,73,50,"Australia","Saucony",6,343,0,1,1
27,"Male",190,89,41,"Germany","Brooks",3,283,0,0,0
19,"Female",179,82,80,"Australia","Saucony",1,284,0,0,0
37,"Female",180,79,62,"Kenya","Saucony",5,278,0,1,1
20,"Male",181,72,25,"Australia","Nike",2,278,0,0,0
39,"Male",161,66,13,"Australia","Adidas",3,351,0,0,0
18,"Male",170,69,32,"Australia","Brooks",0,NA,0,0,0
33,"Female",151,66,30,"Australia","Nike",1,295,0,1,1
28,"Male",168,72,74,"Australia","Brooks",2,306,0,0,0
38,"Female",168,76,28,"Australia","Nike",7,290,0,0,0
20,"Female",160,60,61,"Australia","Adidas",3,277,0,0,0
21,"Female",162,68,47,"Australia","Brooks",1,270,0,0,1
30,"Female",147,52,40,"Australia","Saucony",4,294,0,0,0
23,"Female",161,69,27,"Australia","Adidas",1,269,0,0,1
30,"Female",147,52,41,"Australia","Saucony",2,291,0,0,0
39,"Male",153,61,55,"Australia","Asics",5,313,0,0,0
31,"Male",178,70,40,"Australia","Adidas",0,NA,0,0,0
25,"Male",155,58,35,"USA","Nike",3,254,0,0,0
43,"Female",167,71,43,"Australia","Adidas",3,275,0,0,0
30,"Female",165,67,63,"Australia","Saucony",4,224,0,0,1
29,"Male",172,70,69,"Japan","Asics",1,303,0,0,0
31,"Male",165,64,27,"Germany","Nike",2,313,0,0,0
36,"Male",159,62,52,"Australia","Brooks",3,317,0,0,0
28,"Male",178,74,4,"Australia","Nike",2,319,0,0,0
20,"Male",169,79,22,"UK","Adidas",1,234,0,1,1
42,"Female",149,59,35,"Australia","Nike",2,303,0,0,0
28,"Female",162,66,24,"Australia","Adidas",0,NA,0,0,0
31,"Female",188,85,35,"Australia","Nike",1,318,0,0,0
32,"Male",178,80,39,"Australia","Nike",5,294,0,0,1
32,"Male",165,67,40,"Australia","Adidas",2,279,0,0,0
27,"Female",189,94,56,"Kenya","Nike",2,298,0,0,0
35,"Male",178,80,46,"UK","Adidas",4,302,0,0,1
24,"Female",196,89,21,"Kenya","Nike",4,234,1,1,1
36,"Male",172,71,48,"Australia","Adidas",2,335,0,0,0
37,"Female",193,84,28,"Australia","Brooks",4,262,0,0,0
20,"Male",169,72,16,"Germany","Asics",2,316,0,0,0
24,"Female",135,47,37,"Japan","Adidas",0,NA,1,1,1
32,"Male",165,63,53,"Australia","Saucony",3,308,0,0,0
32,"Female",146,56,83,"Australia","Brooks",1,271,0,0,0
50,"Female",184,79,32,"Australia","Nike",3,387,0,0,0
38,"Female",179,79,34,"Japan","Saucony",4,309,0,0,0
36,"Male",175,74,48,"Japan","Saucony",3,349,0,0,0
41,"Female",160,63,61,"Australia","Brooks",3,335,0,1,1
33,"Male",168,66,44,"Australia","Nike",1,306,0,0,0
32,"Male",161,66,31,"Australia","Saucony",1,248,0,0,0
36,"Male",140,47,37,"UK","Asics",1,256,0,0,0
38,"Male",169,70,25,"Aus","Nike",2,265,0,0,1
31,"Male",161,68,29,"UK","Adidas",2,324,0,0,0
26,"Female",167,68,42,"Australia","Asics",1,301,0,0,0
30,"Male",174,77,43,"Australia","Adidas",2,305,0,0,0
26,"Female",178,76,66,"Australia","Brooks",2,267,0,0,0
21,"Female",178,74,40,"Australia","Brooks",0,NA,0,0,0
25,"Female",184,86,67,"Australia","Saucony",2,257,0,0,0
38,"Male",172,70,32,"Australia","Brooks",4,339,0,1,1
36,"Male",173,74,56,"Australia","Asics",4,257,0,0,1
22,"Female",162,65,19,"Germany","Saucony",2,289,0,0,0
36,"Female",171,75,32,NA,"Nike",6,363,0,0,0
39,"Female",177,82,36,"Germany","Saucony",1,385,0,1,1
21,"Male",159,65,80,"Australia","Saucony",2,349,0,0,0
26,"Male",156,61,47,"Australia",NA,3,247,0,0,1
23,"Male",161,62,38,"Australia","Nike",4,280,0,0,0
44,"Male",165,69,82,"Australia","Asics",1,377,0,0,0
19,"Female",176,77,18,"USA","Nike",2,238,0,0,0
21,"Male",161,65,25,"Australia","Nike",2,218,0,0,0
20,"Female",141,52,50,"USA","Brooks",2,243,0,0,0
34,"Male",165,77,80,"Australia","Adidas",2,232,0,0,0
31,"Female",191,77,34,"Australia","Brooks",3,279,0,0,0
39,"Male",194,91,60,"Australia","Nike",5,347,0,0,0
20,"Male",160,68,35,"Australia","Brooks",2,213,0,0,0
44,"Male",169,75,70,"Australia","Saucony",4,363,0,0,0
46,"Male",180,72,83,"Australia","Adidas",3,269,1,1,1
23,"Male",160,62,34,"Australia","Asics",2,307,1,1,1
30,"Male",169,77,22,"Australia","Adidas",1,325,0,0,0
20,"Female",162,68,41,"Australia","Asics",1,220,0,0,1
29,"Female",159,65,29,"Australia","Asics",4,260,0,0,0
23,"Female",192,86,37,"Australia","Brooks",3,316,0,0,0
23,"Female",182,78,62,"Australia","Saucony",4,230,0,0,0
21,"Male",154,62,22,"UK","Nike",3,274,0,0,0
35,"Male",139,49,119,"Australia","Brooks",2,313,0,0,0
45,"Female",188,89,33,"Australia","Saucony",6,350,0,0,1
27,"Female",154,62,40,"Australia","Adidas",3,303,0,0,0
24,"Male",152,60,37,"Australia",NA,2,208,0,0,0
20,"Female",171,71,50,"Australia","Nike",2,190,0,0,0
46,"Female",169,76,15,"Australia","Asics",2,326,0,0,0
36,"Male",163,69,91,"UK","Saucony",3,246,0,0,1
32,"Male",182,79,95,"Australia","Saucony",3,390,0,1,1
31,"Female",166,69,32,"Australia","Adidas",5,329,0,0,0
32,"Male",166,68,34,"Australia","Brooks",2,275,0,0,0
32,"Male",181,84,28,"Germany","Saucony",2,271,0,0,0
23,"Female",189,84,22,"Australia","Adidas",2,281,0,0,0
23,"Female",164,69,34,"Australia","Brooks",3,299,1,1,1
22,"Female",171,74,41,"USA","Brooks",1,244,0,0,1
20,"Female",177,75,23,"Australia","Brooks",0,NA,0,0,1
34,"Male",170,74,21,"Australia","Saucony",1,269,0,1,1
25,"Female",165,71,40,"Australia","Nike",3,271,1,1,1
26,"Female",170,61,26,"USA","Adidas",2,277,0,0,0
53,"Female",173,74,21,"Australia","Adidas",6,389,0,0,0
26,"Female",158,63,39,"Australia","Asics",2,264,0,0,1
28,"Female",188,83,62,"Australia","Adidas",0,NA,0,0,0
19,"Female",164,69,16,"Australia","Saucony",2,234,0,0,0
35,"Female",174,79,22,"Australia","Brooks",0,NA,0,0,0
29,"Male",164,66,29,"Australia","Asics",1,261,0,0,1
30,"Male",194,88,59,"Australia","Brooks",3,266,0,0,1
40,"Female",168,77,17,"Australia","Asics",1,313,0,0,1
23,"Female",170,69,78,"Australia","Asics",1,308,0,0,0
19,"Male",164,69,37,"UK","Brooks",1,321,0,0,1
27,"Male",150,60,51,NA,"Asics",2,285,0,0,0
39,"Female",156,62,54,"UK",NA,3,278,0,0,1
33,"Male",174,76,39,"Australia","Adidas",3,300,0,0,0
36,"Female",190,85,14,"Australia","Adidas",2,343,0,0,0
36,"Male",164,70,13,"Australia","Asics",3,239,0,0,0
31,"Male",168,82,32,"Australia","Brooks",3,296,0,0,1
30,"Male",157,64,7,"Australia","Asics",3,277,0,0,0
28,"Male",158,66,33,"Australia","Asics",0,NA,0,0,0
38,"Male",161,72,66,"Australia","Adidas",2,340,0,0,0
42,"Male",185,78,20,"Australia","Saucony",1,339,0,0,0
23,"Male",180,80,46,"Germany","Saucony",2,215,0,0,0
29,"Female",170,75,25,"Australia","Asics",6,271,0,0,1
35,"Female",175,70,55,"Australia","Adidas",0,NA,0,0,0
28,"Female",155,59,27,"Australia","Nike",0,NA,0,0,0
24,"Male",163,71,25,"Australia","Adidas",4,310,0,0,0
32,"Female",167,65,33,"Australia","Nike",2,305,0,0,0
32,"Male",192,86,36,"Australia","Brooks",0,NA,0,0,0
30,"Female",162,63,41,"Australia","Saucony",0,NA,0,0,1
20,"Female",158,68,75,"Japan","Nike",2,254,1,1,1
28,"Female",177,79,64,"Australia","Brooks",2,271,0,0,0
38,"Female",154,67,43,"Australia","Brooks",2,310,1,1,1
19,"Female",151,66,28,"Australia","Asics",2,193,0,0,0
38,"Female",180,77,81,"Australia","Brooks",3,262,0,0,0
30,"Male",181,78,22,"Germany","Brooks",3,281,0,0,1
27,"Male",156,65,12,"Australia","Saucony",2,210,0,0,1
18,"Male",180,83,52,"Australia","Asics",2,258,0,0,0
22,"Male",163,63,33,"Germany","Brooks",1,210,0,0,0
24,"Male",148,58,24,"Australia","Brooks",5,258,0,0,0
37,"Male",166,63,48,"Japan","Adidas",3,288,0,0,1
31,"Female",168,69,32,"Australia","Adidas",5,307,0,1,1
28,"Female",148,56,18,"UK","Brooks",1,238,0,0,0
25,"Male",183,86,57,"Australia","Adidas",3,242,0,0,0
22,"Male",177,74,15,"Australia","Adidas",4,269,0,0,1
38,"Female",175,73,22,"Australia","Nike",4,300,0,0,0
18,"Male",181,83,59,"Australia","Saucony",3,244,0,0,1
45,"Female",175,76,40,"Australia","Asics",6,267,0,0,0
29,"Male",180,77,22,"Australia","Adidas",2,273,0,1,1
33,"Male",189,83,22,"Australia","Brooks",1,377,0,0,0
30,"Female",169,75,63,"Australia","Nike",0,NA,0,0,1
30,"Male",161,71,45,"Australia","Nike",3,279,0,1,1
34,"Male",179,76,45,"Germany","Nike",3,299,0,0,0
32,"Male",169,66,81,"Australia","Adidas",4,341,0,0,1
34,"Female",171,75,20,"Australia","Adidas",2,333,0,1,1
41,"Male",160,63,36,"Aus","Adidas",2,302,0,0,1
32,"Male",171,65,67,"Australia","Brooks",2,368,1,1,1
24,"Female",172,65,18,"Australia","Saucony",2,317,0,0,1
20,"Female",157,62,26,"Australia","Brooks",1,219,0,1,1
31,"Male",173,76,40,"Japan","Asics",3,268,0,0,0
27,"Female",169,74,37,"Australia","Saucony",3,301,0,0,0
27,"Female",142,50,26,"Kenya","Adidas",3,260,1,1,1
24,"Male",191,83,41,"Australia",NA,1,278,0,0,0
32,"Female",159,71,52,"Australia","Asics",1,297,0,0,0
35,"Female",164,74,36,"Australia","Saucony",0,NA,0,1,1
25,"Female",153,60,15,"Australia","Asics",1,285,0,0,0
20,"Male",188,81,35,"Australia","Brooks",3,256,0,0,0
22,"Male",167,78,28,"Australia","Saucony",2,264,0,0,0
30,"Male",166,78,46,"Australia","Brooks",1,292,0,0,0
19,"Male",154,58,27,"Australia","Brooks",1,248,0,0,0
37,"Female",174,75,39,"Japan",NA,3,350,0,0,0
28,"Male",166,68,49,"Australia","Brook",2,254,0,0,1
27,"Male",170,72,31,"Australia","Brooks",0,NA,0,0,0
30,"Female",166,69,22,"Australia","Brook",3,234,1,1,1
36,"Female",187,84,40,"Australia","Asics",3,327,0,0,0
31,"Female",155,64,17,"Australia","Saucony",2,307,0,0,0
23,"Female",169,71,41,"Australia","Brooks",1,300,0,0,0
32,"Male",159,63,31,"Australia","Saucony",0,NA,0,1,1
32,"Female",149,56,15,"Australia","Brooks",5,273,0,0,1
